Cluster 0 words:,Cluster 1 words:,Cluster 2 words:,Cluster 3 words:,Cluster 4 words:,Cluster 5 words:,Cluster 6 words:,Cluster 7 words:,Cluster 8 words:,Cluster 9 words:,Cluster 10 words:,Cluster 11 words:,Cluster 12 words:,Cluster 13 words:,Cluster 14 words:,Cluster 15 words:,Cluster 16 words:,Cluster 17 words:,Cluster 18 words:,Cluster 19 words:,Cluster 20 words:,Cluster 21 words:,Cluster 22 words:,Cluster 23 words:,Cluster 24 words:,Cluster 25 words:,Cluster 26 words:,Cluster 27 words:,Cluster 28 words:,Cluster 29 words:
 conserv, deduct, bank, %, incom, health, reagan, world, comput, bush, program, inflat, strike, retir, tax, economi, court, u.s., labor, stock, black, debt, children, budget, protest, union, student, democrat, worker, clinton
 right, tax, financi, rate, percent, insur, tax, war, job, tax, cut, price, union, age, incom, percent, law, offici, union, market, action, treasuri, parent, deficit, polic, worker, school, republican, job, white
 republican, incom, market, price, class, medic, democrat, america, compani, republican, tax, percent, trade, save, percent, consum, conserv, militari, reagan, investor, minor, financi, famili, billion, citi, labor, univers, parti, unemploy, democrat
 parti, loss, world, unemploy, rich, care, conserv, million, technolog, budget, feder, rate, worker, percent, cut, rate, case, forc, leader, fund, white, trillion, kid, tax, street, organ, colleg, senat, employ, rich
 polit, return, street, inflat, middl, cost, said, countri, salari, democrat, budget, consum, leader, plan, rate, price, decis, war, worker, percent, prefer, deficit, food, spend, support, employe, protest, polit, wage, budget
 reagan, expens, wall, million, poor, system, white, said, manag, conserv, billion, economist, parti, secur, deduct, growth, rule, foreign, organ, compani, court, u.s., coupl, reagan, leader, contract, educ, tax, compani, republican
 liber, file, global, recess, famili, plan, budget, life, execut, cut, spend, fed, said, money, pay, recess, robert, administr, democrat, invest, program, crisi, home, cut, said, compani, action, voter, labor, senat
 bush, home, economi, economi, america, pay, cut, day, busi, deficit, administr, wage, offici, benefit, billion, spend, congress, bush, feder, foreign, citi, secur, percent, congress, student, strike, conserv, campaign, percent, administr
 candid, taxpay, capit, economist, gap, compani, republican, us, pay, white, reagan, economi, protest, incom, bill, product, right, secur, campaign, u.s., school, money, money, senat, south, leader, polit, elect, employe, tax
 democrat, credit, money, increas, top, percent, administr, polit, firm, billion, increas, recess, polit, invest, taxpay, market, feder, world, administr, bond, race, borrow, age, republican, polit, control, parti, bill, benefit, bill
 movement, cost, crisi, tax, colleg, cover, senat, rich, inform, congress, propos, rise, labor, life, invest, economist, legal, countri, act, &, women, economi, asset, program, thousand," u""'""]", man, vote, million, deficit
 moder, gain, compani, billion, live, bill, ronald, call, percent, parti, million, product, author, social, save, fed, appeal, defens, candid, buy, univers, interest, school, defens, countri, offici, liber, bush, skill, %
 issu, percent, loan, sale, averag, provid, vote, home, school, right, congress, growth, demand, account, bush, inflat, liber, technolog, support, dollar, student, market, %, feder, color, job, race, cut, train, polit
 support, busi, firm, cost, increas, employ, aid, men, use, campaign, energi, index, polic, compani, plan, recoveri, gener, unit, law, wall, law, fund, social, propos, parti, employ, women, white, economi, plan
 %, pay, credit, averag, gain, worker, polit, citi, engin, propos, cost, unemploy, member, worker, corpor, quarter, bush, depart, wage, rate, clinton, rate, help, balanc, photo, unit, said, candid, industri, cut
 left, claim, u.s., job, wage, reform, bill, offic, home, senat, servic, cost, day, tax, famili, u.s., senat, polic, said, street, california, limit, live, percent, day, wage, seem, poll, product, program
 war, amount, system, u.s., school, employe, committe, gener, univers, plan, economi, labor, organ,'ll, feder, interest, said, use, member, price, william, feder, thing, rate, group, member, citi, issu, pay, comput
 white, break, countri, citi, educ, save, defens, famili, earn, polit, plan, oil, agreement, financi, revenu, oil, vote, control, industri, share, conserv, save, agenc, democrat, forc, cost, professor, clinton, plant, conserv
 call, rule, billion, industri, today, %, congress, societi, hour, bill, percent, increas, militari, insur, propos, home, power, report, help, option, right, credit, colleg, fiscal, u.s., elect, societi, conserv, firm, deal
 believ, account, trade, juli, social, billion, spend, militari, million, spend, local, dollar, movement, contribut, million, cut, william, compani, polit, economi, said, world,', interest, show, million, class, budget, program, committe
